142.9,25.2,960,8.949,-11.993,6.707,3.92
138.7,-33.8,303,8.877,-12.729,6.018,-4.6
108,33,539,6.851,-4.694,11.843,13.46
25.4,-23.5,1175,16.010,18.74,-3.279,-2
144.9,20.2,1956,3.863,-9.170,5.154,1.8
43.05,46.95,2347,4.056,-10.387,-0.353,0.02
47.13,-33.39,559,10.389,11.845,-8.429,0
25.08,-64.76,5322,5.064,-12.463,-1.356,0
65.63,-7.44,2483,9.393,-12.263,-5.274,0
